trial, S1, S2, R, T, xi
1,0,69,23,67,-1 
2,0,50,25,69,-1 
3,6,46,23,80,1 
4,53,0,20,79,-1 
5,0,46,21,64,-1 
6,43,0,25,75,1 
7,36,0,34,75,-1 
8,0,43,21,81,1 
9,0,67,19,85,-1 
10,0,62,22,64,-1 
11,57,0,23,85,1 
12,70,0,30,66,-1 
13,0,43,28,82,1 
14,47,0,23,75,-1 
15,28,25,15,78,-1 
16,1,46,30,74,-1 
17,33,35,14,87,1 
18,0,63,23,87,-1 
19,12,18,47,99,-1 
20,7,37,29,88,-1 
21,42,0,9,82,1 
22,71,4,27,76,1 
23,0,41,24,82,1 
24,0,42,26,86,1 
25,58,0,18,65,1 
26,54,2,22,69,-1 
27,35,19,21,76,1 
28,0,66,20,78,-1 
29,36,17,34,95,1 
30,0,27,40,88,1 
31,50,0,32,72,1 
32,34,0,17,76,-1 
33,8,47,17,74,1 
34,0,54,26,87,-1 
35,3,74,18,56,1 
36,21,28,26,92,1 
37,62,0,34,87,1 
38,41,0,33,85,-1 
39,21,40,25,71,-1 
40,45,0,27,73,-1 
41,9,33,24,99,-1 
42,46,0,30,71,1 
43,39,0,25,78,-1 
44,59,0,36,87,1 
45,59,0,31,92,-1 
46,0,53,11,70,1 
47,36,26,29,82,1 
48,0,41,32,107,-1 
49,0,53,23,92,1 
50,41,20,14,70,-1 
51,61,0,21,73,-1 
52,3,40,23,78,1 
53,72,6,21,76,-1 
54,63,9,18,69,-1 
55,42,0,27,74,1 
56,36,9,24,75,1 
57,0,52,38,79,1 
58,51,0,24,70,1 
59,47,0,26,78,1 
60,50,11,13,76,1 
61,0,64,13,82,1 
62,0,30,24,79,1 
63,0,57,27,87,1 
64,0,56,28,74,1 
65,19,42,22,73,-1 
66,8,35,28,76,-1 
67,68,0,32,90,-1 
68,0,82,20,60,1 
69,12,35,19,57,1 
70,57,0,27,89,-1 
71,20,20,39,88,1 
72,27,33,24,84,-1 
73,0,62,24,82,-1 
74,0,66,16,81,1 
75,25,16,33,76,1 
76,51,5,17,86,1 
