trial, S1, S2, R, T, xi
1,0,70,25,29,1 
2,0,75,34,41,1 
3,0,0,188,134,1 
4,0,0,57,130,-1 
5,0,104,39,27,1 
6,0,0,46,136,-1 
7,0,0,59,133,-1 
8,26,60,32,19,1 
9,0,0,48,127,-1 
10,0,99,28,19,1 
11,0,0,51,103,-1 
12,0,0,43,116,-1 
13,71,26,18,27,1 
14,59,18,31,22,1 
15,0,0,42,128,-1 
16,0,40,38,42,1 
17,0,0,48,109,-1 
18,25,46,26,27,1 
19,0,0,48,115,-1 
20,0,0,53,121,-1 
21,0,0,53,111,-1 
22,0,72,36,34,1 
23,0,0,50,117,-1 
24,0,67,27,29,1 
25,0,0,47,122,-1 
26,0,56,34,33,1 
27,0,0,59,123,-1 
28,24,52,16,22,1 
29,0,0,52,127,-1 
30,0,0,47,131,-1 
31,0,0,59,129,-1 
32,0,0,65,114,-1 
33,53,0,25,37,1 
34,0,0,147,128,1 
35,0,0,40,126,-1 
36,0,0,194,117,1 
37,0,0,50,112,-1 
38,0,0,51,116,-1 
39,0,0,56,139,-1 
40,0,0,40,124,-1 
41,0,119,25,12,1 
42,0,0,44,149,-1 
43,63,0,32,40,1 
44,0,0,64,131,-1 
45,0,0,54,118,-1 
46,0,0,60,103,-1 
47,0,0,61,110,-1 
48,0,0,45,115,-1 
49,0,0,200,106,1 
50,6,94,24,14,1 
51,42,0,57,57,1 
52,0,0,51,122,-1 
53,0,77,25,21,1 
54,55,0,27,27,1 
55,0,0,56,114,-1 
56,0,0,172,128,1 
57,61,0,27,35,1 
58,0,0,64,131,-1 
59,0,0,49,115,-1 
60,0,0,63,108,-1 
61,100,8,20,22,1 
62,0,51,28,39,1 
63,0,0,67,153,-1 
64,0,0,49,105,-1 
65,0,0,215,130,1 
66,0,0,63,145,-1 
67,0,0,42,123,-1 
68,52,17,24,29,1 
69,0,45,40,42,1 
70,12,61,29,33,1 
71,0,0,34,135,-1 
72,67,0,33,31,1 
73,84,7,16,21,1 
74,105,7,17,24,1 
75,0,0,37,119,-1 
76,0,0,47,130,-1 
77,49,0,49,48,1 
78,0,0,49,142,-1 
79,0,0,60,106,-1 
80,0,0,46,156,-1 
81,67,0,55,35,1 
82,0,70,21,37,1 
83,0,86,24,31,1 
84,0,0,47,120,-1 
85,70,0,39,27,1 
86,0,0,60,111,-1 
87,0,0,46,126,-1 
88,0,0,180,126,1 
89,11,82,26,36,1 
90,32,0,39,43,1 
91,0,35,40,36,1 
92,0,0,45,119,-1 
93,0,0,50,123,-1 
94,0,53,36,29,1 
95,34,12,40,38,1 
96,0,0,200,118,1 
97,0,0,47,160,-1 
98,0,0,193,136,1 
99,0,0,51,128,-1 
100,57,0,31,25,1 
101,0,89,10,22,1 
102,30,0,49,49,1 
103,0,0,52,108,-1 
104,0,0,54,133,-1 
105,40,26,29,30,1 
106,0,0,41,142,-1 
107,0,0,48,108,-1 
108,0,0,45,135,-1 
109,90,0,19,27,1 
110,0,0,67,148,1 
111,0,74,42,30,1 
112,81,0,28,28,1 
113,0,0,36,128,-1 
114,0,0,54,135,-1 
115,0,0,46,119,-1 
116,0,0,55,117,-1 
117,0,73,31,37,1 
118,0,0,55,88,-1 
119,0,0,194,118,1 
120,0,0,47,122,-1 
121,0,58,64,46,1 
122,0,0,52,126,-1 
123,0,0,155,118,1 
124,23,19,37,29,1 
125,0,0,47,128,-1 
126,0,0,195,116,1 
127,0,0,50,123,-1 
128,0,0,47,122,-1 
129,57,0,54,38,1 
130,0,0,51,119,-1 
131,0,0,56,144,-1 
132,0,0,46,135,-1 
133,75,0,36,33,1 
134,0,0,204,114,1 
135,47,10,32,31,1 
136,53,0,37,36,1 
137,106,0,29,13,1 
138,18,42,23,29,1 
139,57,0,29,29,1 
140,0,0,198,99,1 
141,0,0,45,128,-1 
142,0,0,49,120,-1 
143,0,0,41,144,-1 
144,50,23,26,20,1 
145,0,0,46,123,-1 
146,0,0,50,119,-1 
147,38,0,50,43,1 
148,0,0,51,137,-1 
149,0,0,56,124,-1 
150,0,0,42,109,-1 
151,48,0,35,45,1 
152,65,1,48,44,1 
153,49,0,29,34,1 
154,0,0,55,147,-1 
155,0,0,51,119,-1 
156,36,48,24,17,1 
157,0,0,48,118,-1 
158,0,0,56,116,-1 
159,63,0,33,29,1 
160,0,0,58,131,-1 
161,0,0,49,126,-1 
162,70,0,41,38,1 
163,0,0,40,130,-1 
164,0,0,36,108,-1 
165,0,0,199,136,1 
166,3,68,47,32,1 
167,0,62,44,28,1 
168,0,0,58,128,-1 
169,0,0,38,127,-1 
170,0,93,35,28,1 
171,78,0,27,27,1 
172,0,0,71,112,-1 
173,0,0,39,130,-1 
174,0,0,190,107,1 
175,0,0,48,121,-1 
176,0,58,40,35,1 
177,74,23,17,17,1 
178,0,38,42,44,1 
179,0,71,35,28,1 
180,93,17,24,20,1 
181,0,0,47,119,-1 
182,0,0,36,90,-1 
183,0,0,43,131,-1 
184,0,89,40,22,1 
185,0,0,51,128,-1 
186,70,0,52,30,1 
187,0,0,75,129,-1 
188,45,36,33,38,1 
189,0,0,59,130,-1 
190,0,0,187,115,1 
191,0,0,35,123,-1 
192,61,0,29,28,1 
193,0,0,185,115,1 
194,0,47,47,48,1 
195,0,0,47,118,-1 
196,0,0,236,135,1 
197,0,0,52,111,-1 
198,0,37,61,53,1 
199,0,0,49,136,-1 
200,0,0,33,114,-1 
201,61,0,43,32,1 
202,26,76,17,20,1 
203,0,0,37,110,-1 
204,74,0,24,27,1 
205,0,0,58,116,-1 
206,0,45,47,42,1 
207,0,0,53,129,-1 
208,0,0,50,121,-1 
209,73,0,46,37,1 
210,0,0,52,130,-1 
211,0,0,194,107,1 
212,0,0,46,140,-1 
213,0,0,52,142,-1 
214,0,66,27,29,1 
215,0,0,44,127,-1 
216,106,0,18,15,1 
217,0,0,43,116,-1 
218,16,41,47,45,1 
219,0,72,38,35,1 
220,106,0,36,19,1 
221,0,0,55,124,-1 
222,0,0,41,114,-1 
