trial, S1, S2, R, T, xi
1,0,0,79,129,1 
2,9,0,17,55,-1 
3,0,0,59,136,-1 
4,0,0,39,124,-1 
5,23,27,42,30,1 
6,0,57,43,34,1 
7,0,0,52,114,-1 
8,0,0,191,131,1 
9,0,0,205,134,1 
10,0,0,55,139,-1 
11,0,0,53,107,-1 
12,0,55,21,23,1 
13,0,34,47,32,1 
14,49,12,36,22,1 
15,0,0,227,134,1 
16,8,26,44,42,1 
17,0,0,56,129,-1 
18,0,8,142,101,1 
19,0,0,200,114,1 
20,0,82,37,18,1 
21,0,0,52,113,-1 
22,0,0,52,128,-1 
23,13,0,19,55,-1 
24,0,0,206,121,1 
25,32,0,51,48,1 
26,0,0,44,118,-1 
27,71,0,22,25,1 
28,0,0,51,129,-1 
29,50,0,36,27,1 
30,97,0,28,12,1 
31,0,0,50,91,-1 
32,0,0,182,122,1 
33,0,0,40,121,-1 
34,0,0,56,116,-1 
35,0,0,46,116,-1 
36,0,0,66,134,-1 
37,0,0,48,110,-1 
38,0,0,46,129,-1 
39,0,0,212,145,1 
40,0,0,43,125,-1 
41,0,0,39,124,-1 
42,0,0,235,97,1 
43,0,0,48,130,-1 
44,70,0,22,25,1 
45,0,0,190,124,1 
46,0,0,70,127,-1 
47,0,0,40,110,-1 
48,0,0,54,111,-1 
49,0,0,63,131,-1 
50,0,0,47,106,-1 
51,0,0,53,126,-1 
52,0,44,45,41,1 
53,0,0,47,126,-1 
54,0,0,51,132,-1 
55,0,0,186,122,1 
56,0,0,211,132,1 
57,0,0,57,129,-1 
58,99,0,36,15,1 
59,0,0,193,161,1 
60,59,0,26,25,1 
61,7,85,27,16,1 
62,0,65,35,25,1 
63,0,0,36,106,-1 
64,63,0,32,30,1 
65,0,0,40,119,-1 
66,0,0,54,131,-1 
67,86,0,28,20,1 
68,54,0,34,41,1 
69,40,0,35,43,1 
70,0,0,200,118,1 
71,0,38,67,40,1 
72,0,0,48,120,-1 
73,0,0,222,127,1 
74,0,46,48,25,1 
75,71,0,27,13,1 
76,0,0,47,138,-1 
77,0,0,44,118,-1 
78,0,49,43,34,1 
79,82,0,27,25,1 
80,0,0,42,132,-1 
81,0,70,38,22,1 
82,0,0,47,132,-1 
83,95,0,34,26,1 
84,56,0,35,19,1 
85,0,0,55,131,-1 
86,37,0,53,41,1 
87,52,0,51,34,1 
88,82,0,45,24,1 
89,0,30,85,58,1 
90,0,0,51,130,-1 
91,0,0,35,121,-1 
92,0,56,71,38,1 
93,0,0,45,135,-1 
94,0,0,47,125,-1 
95,0,0,51,140,-1 
96,0,0,65,111,-1 
97,0,0,51,137,-1 
98,0,0,46,117,-1 
99,0,0,49,142,-1 
100,0,0,46,125,-1 
101,0,0,56,114,-1 
102,16,51,34,17,1 
103,0,0,64,152,-1 
104,50,0,41,24,1 
105,0,0,53,111,-1 
106,50,8,40,42,1 
107,0,0,62,132,-1 
108,0,0,55,132,-1 
109,0,0,49,126,-1 
110,0,72,30,18,1 
111,0,0,47,141,-1 
112,71,0,26,24,1 
113,0,0,38,97,-1 
114,0,109,23,26,1 
115,0,0,201,140,1 
116,37,0,58,51,1 
117,0,0,43,124,-1 
118,0,79,19,22,1 
119,0,0,51,139,-1 
120,81,0,27,13,1 
121,0,61,25,28,1 
122,0,65,46,25,1 
123,0,0,196,105,1 
124,0,0,38,138,-1 
125,0,0,63,143,-1 
126,0,0,52,116,-1 
127,63,0,37,24,1 
128,0,0,47,120,-1 
129,0,100,25,12,1 
130,0,67,34,19,1 
131,0,0,47,112,-1 
132,10,46,31,37,1 
133,0,66,21,27,1 
134,0,0,49,151,-1 
135,0,104,26,10,1 
136,0,0,52,117,-1 
137,0,0,57,106,-1 
138,0,32,70,51,1 
139,0,0,66,120,-1 
140,0,0,46,123,-1 
141,0,65,26,30,1 
142,0,0,42,122,-1 
143,0,0,68,139,-1 
144,0,0,58,123,-1 
145,0,0,45,117,-1 
146,0,0,50,130,-1 
147,0,0,51,105,-1 
148,0,26,60,48,1 
149,0,35,37,37,1 
150,0,0,39,126,-1 
151,0,0,57,128,-1 
152,9,0,93,65,1 
153,0,0,59,136,-1 
154,34,0,57,45,1 
155,0,56,51,50,1 
156,0,0,65,107,-1 
157,0,0,61,135,-1 
158,29,0,50,48,1 
159,0,0,64,119,-1 
160,0,0,47,130,-1 
161,65,0,31,23,1 
162,0,0,45,106,-1 
163,97,0,13,13,1 
164,0,0,56,120,-1 
165,0,99,24,18,1 
166,0,0,53,126,-1 
167,0,0,52,113,-1 
168,0,0,54,133,-1 
169,0,0,49,110,-1 
170,15,0,31,47,-1 
171,0,65,41,32,1 
172,0,0,42,124,-1 
173,0,70,27,15,1 
174,0,0,52,117,-1 
175,0,0,52,118,-1 
176,0,0,52,117,-1 
177,0,0,48,139,-1 
178,0,41,60,48,1 
179,0,0,50,119,-1 
180,0,48,46,31,1 
181,0,54,41,33,1 
182,0,0,56,142,-1 
183,76,38,26,7,1 
184,0,0,45,145,-1 
185,0,70,29,23,1 
186,0,72,25,21,1 
187,0,0,203,124,1 
188,0,85,31,19,1 
189,0,0,37,141,-1 
190,0,0,44,129,-1 
191,0,0,60,124,-1 
192,0,0,50,122,-1 
193,0,0,55,121,-1 
194,0,0,49,124,-1 
195,0,0,49,138,-1 
196,0,0,201,130,1 
197,0,0,35,135,-1 
198,67,0,43,28,1 
199,54,0,40,38,1 
200,0,24,111,70,1 
201,113,0,21,19,1 
202,81,4,21,21,1 
203,0,0,47,135,-1 
204,9,72,26,16,1 
205,0,63,35,19,1 
206,39,0,47,38,1 
207,36,27,27,23,1 
208,57,0,30,20,1 
209,0,0,45,128,-1 
210,31,22,32,26,1 
211,0,0,50,130,-1 
212,0,0,41,118,-1 
213,0,51,39,28,1 
214,0,0,46,122,-1 
215,73,0,44,27,1 
216,98,0,19,11,1 
217,0,0,195,111,1 
218,0,0,48,131,-1 
219,0,0,43,144,-1 
220,0,0,46,124,-1 
221,0,0,59,127,-1 
222,0,0,154,134,1 
223,0,0,192,130,1 
224,0,0,45,141,-1 
225,0,49,52,39,1 
226,0,0,39,120,-1 
227,0,0,207,129,1 
228,0,0,217,115,1 
229,0,0,55,118,-1 
230,0,0,46,122,-1 
231,70,0,28,30,1 
232,79,0,59,31,1 
233,0,53,46,28,1 
234,85,0,23,20,1 
235,0,0,41,119,-1 
236,0,47,38,27,1 
237,94,0,37,19,1 
238,0,0,178,142,1 
239,0,0,46,108,-1 
240,0,0,58,125,-1 
241,0,74,28,17,1 
242,66,0,37,19,1 
243,0,0,37,123,-1 
244,0,0,57,118,-1 
245,0,69,30,30,1 
246,24,60,43,17,1 
247,12,69,37,18,1 
248,0,0,53,129,-1 
249,0,0,60,129,-1 
250,0,117,11,12,1 
251,0,0,48,152,-1 
252,0,75,20,20,1 
253,73,0,41,23,1 
254,0,0,51,114,-1 
255,83,0,35,17,1 
256,19,0,19,45,-1 
257,0,0,146,118,1 
258,0,0,221,92,1 
259,0,0,194,135,1 
260,0,0,38,117,-1 
261,0,0,44,118,-1 
262,0,84,24,20,1 
263,0,67,39,22,1 
264,0,57,63,34,1 
265,0,0,186,131,1 
266,37,33,32,26,1 
267,0,0,53,115,-1 
268,65,0,51,28,1 
269,36,0,61,48,1 
270,75,0,36,24,1 
271,0,0,45,119,-1 
272,0,0,60,140,-1 
273,0,0,205,123,1 
274,0,0,41,139,-1 
275,71,0,54,19,1 
276,0,0,40,121,-1 
277,0,0,57,122,-1 
278,0,0,61,128,-1 
279,0,0,53,106,-1 
280,82,0,47,21,1 
281,0,75,29,19,1 
282,0,47,55,35,1 
283,11,0,17,43,-1 
284,0,0,57,119,-1 
285,58,0,46,22,1 
286,0,0,170,138,1 
287,0,0,46,104,-1 
288,0,66,50,40,1 
289,0,0,43,142,-1 
290,0,0,51,143,-1 
291,0,0,198,128,1 
292,0,60,33,19,1 
293,0,98,28,12,1 
294,0,0,63,124,-1 
295,0,0,44,125,-1 
296,0,0,51,115,-1 
297,0,0,46,111,-1 
298,0,20,160,88,1 
299,0,0,198,130,1 
300,0,0,209,146,1 
301,0,0,58,126,-1 
302,0,0,136,142,1 
303,112,0,23,19,1 
304,48,0,48,24,1 
305,0,0,45,121,-1 
306,0,0,58,124,-1 
