#  toxicity\scarce(R=50), mean(R=125), abundant(R=200)
2.312599999999999933e-01,2.577000000000000124e-02,2.799999999999999972e-03
5.338999999999999996e-02,6.879000000000000392e-02,9.220000000000000764e-03
8.800000000000000313e-04,1.298100000000000087e-01,1.833999999999999866e-02
0.000000000000000000e+00,1.703800000000000037e-01,3.339000000000000301e-02
0.000000000000000000e+00,1.158200000000000063e-01,5.054999999999999771e-02
0.000000000000000000e+00,2.256999999999999978e-02,8.054999999999999660e-02
0.000000000000000000e+00,1.129999999999999928e-03,1.109499999999999931e-01
0.000000000000000000e+00,2.000000000000000164e-05,1.278799999999999937e-01
0.000000000000000000e+00,0.000000000000000000e+00,9.350999999999999590e-02
0.000000000000000000e+00,0.000000000000000000e+00,4.222000000000000058e-02
