# toxicity\scarce(R=50), mean(R=125), abundant(R=200)
7.994999999999999329e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.296300000000000008e-01,5.000000000000000240e-05,2.000000000000000164e-05
9.905899999999999705e-01,1.940000000000000101e-03,1.399999999999999877e-04
9.999599999999999600e-01,4.601999999999999841e-02,1.020000000000000073e-03
1.000000000000000000e+00,3.059799999999999742e-01,4.270000000000000358e-03
1.000000000000000000e+00,7.560999999999999943e-01,1.881999999999999992e-02
1.000000000000000000e+00,9.702800000000000313e-01,6.183000000000000301e-02
1.000000000000000000e+00,9.989900000000000446e-01,1.730800000000000116e-01
1.000000000000000000e+00,9.999599999999999600e-01,3.951600000000000112e-01
1.000000000000000000e+00,1.000000000000000000e+00,6.669500000000000428e-01
