resource, consumer1, toxin, environment
37, 55, 132, 1
11, 75, 19, -1
19, 81, 18, -1
33, 30, 169, 1
23, 75, 28, -1
9, 82, 28, -1
68, 28, 155, 1
38, 47, 170, 1
12, 76, 27, -1
34, 38, 136, 1
17, 69, 27, -1
21, 48, 139, 1
14, 71, 25, -1
11, 113, 21, -1
19, 68, 27, -1
61, 21, 141, 1
20, 76, 25, -1
41, 21, 172, 1
22, 39, 154, 1
14, 46, 139, 1
61, 27, 157, 1
36, 16, 165, 1
36, 32, 153, 1
33, 67, 24, -1
17, 45, 133, 1
19, 46, 141, 1
32, 45, 137, 1
33, 59, 145, 1
40, 47, 153, 1
16, 62, 33, -1
13, 71, 12, -1
13, 78, 18, -1
11, 62, 24, -1
21, 46, 139, 1
22, 58, 127, 1
27, 38, 185, 1
29, 60, 139, 1
13, 69, 28, -1
33, 46, 141, 1
11, 67, 29, -1
34, 36, 134, 1
15, 90, 10, -1
8, 85, 23, -1
25, 52, 142, 1
32, 32, 136, 1
14, 85, 24, -1
18, 103, 18, -1
35, 51, 139, 1
18, 77, 131, 1
27, 49, 153, 1
27, 58, 37, -1
26, 29, 124, 1
17, 83, 26, -1
15, 52, 137, 1
30, 92, 21, -1
26, 59, 156, 1
46, 35, 174, 1
27, 31, 148, 1
26, 59, 148, 1
14, 87, 11, -1
18, 90, 17, -1
40, 48, 144, 1
13, 105, 25, -1
21, 74, 31, -1
27, 34, 138, 1
24, 54, 135, 1
36, 42, 141, 1
20, 72, 22, -1
13, 113, 20, -1
9, 114, 15, -1
18, 84, 22, -1
13, 78, 31, -1
45, 21, 156, 1
10, 88, 21, -1
21, 91, 21, -1
24, 24, 137, 1
13, 80, 27, -1
9, 82, 28, -1
13, 67, 23, -1
17, 82, 19, -1
14, 72, 25, -1
21, 46, 140, 1
23, 81, 22, -1
17, 93, 23, -1
22, 62, 144, 1
10, 66, 21, -1
26, 37, 141, 1
26, 42, 160, 1
35, 28, 174, 1
24, 71, 21, -1
21, 72, 27, -1
22, 98, 17, -1
37, 39, 172, 1
14, 91, 20, -1
28, 38, 152, 1
14, 105, 12, -1
12, 89, 22, -1
17, 67, 27, -1
24, 62, 115, 1
11, 81, 23, -1
22, 90, 26, -1
12, 87, 20, -1
10, 92, 17, -1
14, 106, 13, -1
21, 109, 17, -1
13, 94, 15, -1
28, 37, 148, 1
24, 36, 131, 1
15, 74, 28, -1
22, 32, 149, 1
17, 90, 24, -1
19, 91, 24, -1
18, 76, 26, -1
15, 77, 21, -1
31, 43, 144, 1
12, 113, 18, -1
16, 57, 133, 1
16, 75, 14, -1
26, 42, 160, 1
14, 72, 26, -1
19, 76, 28, -1
15, 83, 21, -1
32, 50, 162, 1
39, 29, 167, 1
11, 86, 21, -1
13, 40, 138, 1
30, 51, 151, 1
22, 58, 36, -1
12, 88, 19, -1
16, 74, 20, -1
24, 64, 20, -1
12, 76, 20, -1
28, 43, 162, 1
24, 32, 135, 1
25, 32, 138, 1
18, 66, 25, -1
12, 70, 20, -1
29, 45, 138, 1
26, 62, 132, 1
20, 68, 121, 1
9, 85, 24, -1
19, 63, 138, 1
46, 38, 166, 1
26, 29, 160, 1
17, 75, 20, -1
23, 47, 152, 1
25, 51, 150, 1
22, 70, 24, -1
21, 63, 141, 1
27, 84, 18, -1
22, 50, 155, 1
33, 31, 154, 1
28, 48, 136, 1
24, 51, 135, 1
7, 64, 26, -1
13, 71, 31, -1
30, 37, 142, 1
20, 49, 141, 1
23, 50, 143, 1
18, 95, 26, -1
20, 44, 149, 1
25, 56, 157, 1
16, 104, 19, -1
30, 39, 132, 1
22, 46, 137, 1
16, 83, 14, -1
22, 71, 27, -1
12, 85, 14, -1
19, 75, 14, -1
35, 68, 127, 1
21, 55, 143, 1
14, 104, 18, -1
14, 93, 25, -1
21, 78, 32, -1
26, 54, 132, 1
19, 67, 32, -1
30, 58, 118, 1
16, 69, 24, -1
19, 93, 33, -1
13, 65, 22, -1
17, 60, 138, 1
33, 39, 146, 1
16, 86, 21, -1
55, 23, 158, 1
15, 70, 25, -1
6, 83, 17, -1
12, 79, 24, -1
20, 89, 17, -1
24, 73, 23, -1
15, 85, 23, -1
16, 93, 13, -1
23, 48, 161, 1
16, 96, 22, -1
31, 49, 167, 1
19, 89, 13, -1
21, 75, 27, -1
18, 88, 17, -1
29, 49, 185, 1
14, 67, 21, -1
19, 71, 25, -1
32, 38, 143, 1
35, 31, 152, 1
40, 59, 152, 1
16, 79, 24, -1
28, 34, 151, 1
25, 51, 21, -1
17, 64, 139, 1
17, 99, 21, -1
21, 46, 165, 1
9, 97, 6, -1
9, 117, 11, -1
34, 30, 171, 1
25, 47, 162, 1
16, 73, 19, -1
10, 103, 20, -1
29, 43, 153, 1
22, 39, 139, 1
16, 78, 21, -1
30, 31, 131, 1
17, 54, 23, -1
11, 79, 19, -1
25, 57, 140, 1
31, 55, 139, 1
13, 88, 18, -1
22, 39, 137, 1
14, 64, 33, -1
27, 40, 145, 1
20, 43, 160, 1
15, 76, 21, -1
17, 80, 26, -1
20, 46, 133, 1
15, 75, 15, -1
45, 34, 147, 1
47, 41, 128, 1
21, 80, 21, -1
20, 58, 24, -1
15, 58, 23, -1
17, 90, 17, -1
10, 86, 21, -1
8, 91, 35, -1
30, 42, 140, 1
28, 30, 140, 1
26, 31, 141, 1
12, 85, 23, -1
36, 29, 158, 1
28, 56, 157, 1
31, 25, 160, 1
14, 81, 27, -1
32, 52, 141, 1
16, 100, 26, -1
8, 86, 16, -1
9, 74, 30, -1
38, 35, 129, 1
21, 57, 134, 1
28, 50, 161, 1
35, 58, 137, 1
33, 30, 159, 1
22, 48, 144, 1
29, 37, 169, 1
24, 69, 144, 1
10, 88, 17, -1
20, 43, 153, 1
3, 98, 15, -1
9, 97, 27, -1
11, 126, 10, -1
22, 46, 32, -1
14, 86, 20, -1
31, 42, 149, 1
22, 29, 153, 1
27, 67, 23, -1
24, 38, 153, 1
13, 41, 109, 1
14, 93, 11, -1
22, 52, 25, -1
15, 72, 18, -1
28, 59, 120, 1
31, 37, 162, 1
25, 78, 26, -1
19, 69, 26, -1
20, 88, 14, -1
29, 45, 134, 1
28, 51, 132, 1
21, 69, 114, 1
13, 92, 30, -1
11, 54, 30, -1
22, 59, 142, 1
10, 90, 20, -1
16, 84, 26, -1
23, 64, 25, -1
23, 37, 117, 1
10, 82, 23, -1
13, 71, 26, -1
26, 45, 126, 1
21, 67, 152, 1
11, 85, 25, -1
11, 104, 20, -1
39, 34, 155, 1
19, 69, 29, -1
26, 49, 139, 1
34, 53, 159, 1
15, 92, 28, -1
13, 97, 15, -1
18, 69, 29, -1
15, 68, 22, -1
20, 58, 121, 1
18, 96, 22, -1
28, 61, 140, 1
31, 45, 129, 1
31, 48, 143, 1
20, 37, 159, 1
10, 98, 15, -1
41, 30, 181, 1
33, 48, 170, 1
15, 62, 41, -1
26, 40, 170, 1
43, 33, 166, 1
11, 72, 23, -1
15, 81, 25, -1
15, 71, 20, -1
31, 29, 148, 1
29, 29, 134, 1
26, 53, 161, 1
24, 72, 19, -1
12, 78, 26, -1
33, 32, 150, 1
10, 75, 28, -1
15, 65, 23, -1
30, 65, 20, -1
24, 45, 111, 1
24, 48, 142, 1
14, 62, 20, -1
21, 36, 184, 1
19, 72, 27, -1
24, 51, 154, 1
15, 77, 31, -1
30, 58, 146, 1
23, 66, 109, 1
15, 68, 32, -1
15, 81, 27, -1
18, 82, 24, -1
23, 36, 153, 1
15, 81, 19, -1
45, 39, 155, 1
16, 64, 21, -1
15, 113, 17, -1
50, 19, 153, 1
41, 29, 160, 1
14, 62, 23, -1
28, 29, 141, 1
22, 84, 25, -1
36, 34, 175, 1
27, 51, 143, 1
17, 80, 15, -1
6, 79, 16, -1
39, 31, 132, 1
29, 54, 142, 1
24, 45, 125, 1
35, 29, 161, 1
22, 55, 131, 1
33, 50, 159, 1
24, 46, 37, -1
23, 77, 25, -1
13, 82, 16, -1
22, 76, 19, -1
11, 61, 27, -1
27, 42, 144, 1
24, 80, 124, 1
21, 51, 30, -1
23, 86, 12, -1
32, 54, 134, 1
36, 54, 165, 1
12, 54, 36, -1
22, 50, 154, 1
33, 46, 149, 1
32, 38, 143, 1
23, 35, 154, 1
11, 117, 14, -1
12, 80, 16, -1
17, 69, 33, -1
12, 73, 21, -1
18, 48, 129, 1
19, 108, 20, -1
19, 63, 139, 1
9, 64, 23, -1
11, 73, 23, -1
28, 42, 140, 1
34, 37, 137, 1
35, 25, 159, 1
23, 36, 188, 1
35, 31, 150, 1
25, 60, 144, 1
36, 44, 156, 1
25, 74, 22, -1
47, 31, 148, 1
10, 106, 11, -1
32, 32, 169, 1
15, 53, 29, -1
50, 24, 148, 1
27, 52, 20, -1
22, 42, 130, 1
14, 82, 15, -1
18, 84, 25, -1
54, 33, 174, 1
22, 79, 19, -1
24, 59, 167, 1
17, 79, 16, -1
39, 36, 166, 1
26, 62, 138, 1
18, 60, 28, -1
32, 68, 141, 1
36, 40, 119, 1
36, 28, 136, 1
29, 35, 151, 1
17, 77, 17, -1
20, 84, 16, -1
12, 64, 18, -1
30, 65, 168, 1
46, 37, 174, 1
21, 38, 160, 1
25, 33, 140, 1
25, 83, 24, -1
13, 61, 26, -1
10, 101, 23, -1
33, 57, 120, 1
20, 52, 157, 1
16, 60, 153, 1
28, 42, 138, 1
17, 84, 22, -1
26, 85, 25, -1
16, 83, 32, -1
12, 88, 23, -1
46, 28, 179, 1
14, 96, 25, -1
15, 83, 24, -1
32, 45, 139, 1
40, 38, 147, 1
38, 32, 207, 1
14, 105, 17, -1
43, 31, 143, 1
13, 88, 23, -1
32, 39, 184, 1
22, 41, 136, 1
22, 66, 22, -1
11, 65, 25, -1
14, 78, 19, -1
16, 92, 29, -1
16, 78, 22, -1
17, 55, 139, 1
14, 78, 24, -1
25, 48, 134, 1
29, 35, 149, 1
12, 80, 22, -1
39, 27, 175, 1
20, 74, 21, -1
33, 53, 127, 1
13, 77, 20, -1
17, 81, 17, -1
14, 94, 16, -1
31, 43, 176, 1
19, 78, 23, -1
20, 71, 20, -1
39, 48, 171, 1
30, 46, 144, 1
16, 68, 23, -1
21, 61, 22, -1
22, 87, 15, -1
13, 77, 28, -1
12, 83, 29, -1
42, 30, 152, 1
23, 30, 157, 1
33, 42, 156, 1
31, 48, 151, 1
17, 99, 24, -1
16, 82, 18, -1
16, 84, 24, -1
42, 80, 127, 1
36, 51, 151, 1
23, 73, 28, -1
13, 66, 39, -1
14, 76, 19, -1
27, 40, 156, 1
25, 39, 145, 1
11, 81, 23, -1
12, 95, 25, -1
20, 72, 32, -1
49, 43, 156, 1
28, 38, 140, 1
11, 78, 23, -1
15, 82, 23, -1
14, 78, 26, -1
19, 65, 28, -1
30, 36, 160, 1
19, 72, 23, -1
8, 92, 21, -1
12, 66, 43, -1
24, 51, 150, 1
29, 27, 126, 1
17, 81, 17, -1
22, 54, 129, 1
17, 72, 21, -1
20, 84, 26, -1
18, 70, 22, -1
