time, resource, consumer1, consumer2, toxin, environment
0.000, 150, 10, 10, 125, -1
0.002, 150, 10, 10, 126, -1
0.005, 150, 10, 10, 125, -1
0.011, 149, 10, 10, 125, -1
0.022, 148, 10, 10, 125, -1
0.046, 148, 10, 10, 124, -1
0.065, 147, 10, 10, 124, -1
0.083, 147, 11, 10, 124, -1
0.087, 147, 11, 11, 124, -1
0.101, 146, 11, 11, 124, -1
0.121, 146, 11, 12, 124, -1
0.137, 146, 11, 11, 124, -1
0.139, 146, 11, 12, 124, -1
0.173, 146, 11, 12, 125, -1
0.185, 145, 11, 12, 125, -1
0.191, 145, 11, 11, 125, -1
0.194, 146, 11, 11, 125, -1
0.206, 146, 11, 11, 126, -1
0.241, 146, 10, 11, 126, -1
0.259, 145, 10, 11, 126, -1
0.260, 145, 10, 12, 126, -1
0.281, 145, 10, 12, 125, -1
0.290, 145, 10, 12, 126, -1
0.295, 144, 10, 12, 126, -1
0.308, 144, 10, 12, 127, -1
0.315, 144, 10, 12, 128, -1
0.321, 143, 10, 12, 128, -1
0.352, 142, 10, 12, 128, -1
0.366, 142, 10, 12, 129, -1
0.370, 141, 10, 12, 129, -1
0.376, 140, 10, 12, 129, -1
0.378, 140, 10, 12, 128, -1
0.388, 140, 10, 13, 128, -1
0.393, 139, 10, 13, 128, -1
0.401, 139, 10, 13, 129, -1
0.423, 138, 10, 13, 129, -1
0.434, 138, 10, 14, 129, -1
0.435, 138, 10, 13, 129, -1
0.436, 138, 10, 13, 128, -1
0.437, 138, 10, 13, 129, -1
0.444, 138, 11, 13, 129, -1
0.447, 138, 10, 13, 129, -1
0.457, 137, 10, 13, 129, -1
0.471, 137, 10, 13, 130, -1
0.477, 137, 10, 13, 129, -1
0.479, 137, 10, 13, 130, -1
0.495, 138, 10, 13, 130, -1
0.503, 138, 10, 13, 131, -1
0.507, 138, 10, 13, 130, -1
0.518, 138, 9, 13, 130, -1
0.560, 137, 9, 13, 130, -1
0.570, 137, 9, 13, 131, -1
0.606, 137, 9, 13, 132, -1
0.610, 137, 9, 13, 131, -1
0.642, 137, 9, 13, 132, -1
0.644, 137, 9, 14, 132, -1
0.657, 138, 9, 14, 132, -1
0.678, 138, 9, 14, 133, -1
0.685, 137, 9, 14, 133, -1
0.714, 137, 9, 14, 134, -1
0.723, 137, 10, 14, 134, -1
0.747, 138, 10, 14, 134, -1
0.748, 137, 10, 14, 134, -1
0.787, 136, 10, 14, 134, -1
0.795, 135, 10, 14, 134, -1
0.818, 136, 10, 14, 134, -1
0.826, 135, 10, 14, 134, -1
0.862, 134, 10, 14, 134, -1
0.877, 134, 10, 14, 133, -1
0.900, 134, 10, 14, 132, -1
0.932, 133, 10, 14, 132, -1
0.943, 133, 10, 14, 131, -1
0.989, 132, 10, 14, 131, -1
1.009, 131, 10, 14, 131, -1
1.016, 131, 10, 13, 131, -1
1.032, 131, 10, 13, 130, -1
1.041, 131, 9, 13, 130, -1
1.044, 131, 9, 14, 130, -1
1.048, 131, 9, 14, 129, -1
1.056, 131, 9, 14, 128, -1
1.079, 130, 9, 14, 128, -1
1.088, 130, 9, 14, 129, -1
1.088, 130, 9, 14, 130, -1
1.090, 129, 9, 14, 130, -1
1.107, 130, 9, 14, 130, -1
1.124, 129, 9, 14, 130, -1
1.131, 129, 9, 14, 131, -1
1.145, 129, 9, 14, 130, -1
1.155, 128, 9, 14, 130, -1
1.160, 127, 9, 14, 130, -1
1.184, 127, 9, 15, 130, -1
1.201, 127, 9, 15, 129, -1
1.217, 126, 9, 15, 129, -1
