time, resource, consumer1, consumer2, toxin, environment
0.000, 150, 10, 10, 125, 1
0.015, 150, 10, 10, 126, 1
0.039, 150, 11, 10, 126, 1
0.041, 149, 11, 10, 126, 1
0.052, 150, 11, 10, 126, 1
0.053, 150, 12, 10, 126, 1
0.053, 150, 12, 10, 127, 1
0.055, 151, 12, 10, 127, 1
0.059, 151, 12, 10, 126, 1
0.060, 150, 12, 10, 126, 1
0.071, 149, 12, 10, 126, 1
0.088, 149, 12, 10, 125, 1
0.121, 149, 12, 10, 126, 1
0.141, 149, 12, 10, 125, 1
0.146, 148, 12, 10, 125, 1
0.153, 147, 12, 10, 125, 1
0.160, 147, 12, 10, 126, 1
0.162, 148, 12, 10, 126, 1
0.168, 148, 12, 10, 125, 1
0.173, 148, 12, 10, 126, 1
0.189, 147, 12, 10, 126, 1
0.194, 147, 12, 10, 126, -1
0.194, 146, 12, 10, 126, -1
0.236, 145, 12, 10, 126, -1
0.237, 145, 12, 10, 127, -1
0.239, 145, 12, 10, 126, -1
0.239, 145, 12, 10, 126, 1
0.244, 145, 13, 10, 126, 1
0.248, 146, 13, 10, 126, 1
0.252, 145, 13, 10, 126, 1
0.253, 145, 14, 10, 126, 1
0.256, 144, 14, 10, 126, 1
0.259, 144, 14, 10, 127, 1
0.263, 144, 14, 10, 126, 1
0.265, 144, 14, 10, 126, -1
0.266, 144, 14, 10, 127, -1
0.267, 144, 14, 10, 126, -1
0.279, 143, 14, 10, 126, -1
0.288, 142, 14, 10, 126, -1
0.290, 143, 14, 10, 126, -1
0.298, 142, 14, 10, 126, -1
0.323, 142, 14, 10, 126, 1
0.326, 142, 14, 10, 125, 1
0.330, 143, 14, 10, 125, 1
0.337, 144, 14, 10, 125, 1
0.346, 144, 14, 10, 126, 1
0.356, 144, 14, 10, 126, -1
0.357, 144, 14, 11, 126, -1
0.365, 143, 14, 11, 126, -1
0.385, 143, 14, 11, 125, -1
0.391, 142, 14, 11, 125, -1
0.402, 142, 13, 11, 125, -1
0.409, 142, 13, 11, 124, -1
0.411, 142, 13, 11, 123, -1
0.430, 142, 12, 11, 123, -1
0.436, 142, 12, 11, 122, -1
0.446, 142, 12, 11, 121, -1
0.446, 142, 12, 11, 121, 1
0.453, 141, 12, 11, 121, 1
0.457, 142, 12, 11, 121, 1
0.475, 142, 12, 11, 122, 1
0.476, 142, 12, 11, 121, 1
0.497, 142, 12, 11, 121, -1
0.517, 141, 12, 11, 121, -1
0.521, 140, 12, 11, 121, -1
0.546, 139, 12, 11, 121, -1
0.559, 138, 12, 11, 121, -1
0.561, 137, 12, 11, 121, -1
0.573, 137, 12, 11, 121, 1
0.605, 136, 12, 11, 121, 1
0.607, 136, 12, 11, 120, 1
0.609, 136, 12, 11, 120, -1
0.613, 136, 12, 11, 120, 1
0.633, 136, 11, 11, 120, 1
0.635, 136, 11, 11, 119, 1
0.636, 136, 11, 11, 120, 1
0.640, 136, 11, 12, 120, 1
0.641, 136, 11, 12, 120, -1
0.641, 136, 10, 12, 120, -1
0.650, 136, 11, 12, 120, -1
0.650, 136, 11, 12, 119, -1
0.650, 136, 11, 12, 118, -1
0.666, 135, 11, 12, 118, -1
0.667, 135, 11, 12, 117, -1
0.673, 134, 11, 12, 117, -1
0.750, 134, 11, 12, 116, -1
0.754, 133, 11, 12, 116, -1
0.758, 134, 11, 12, 116, -1
0.763, 134, 11, 12, 116, 1
0.769, 134, 11, 13, 116, 1
0.772, 133, 11, 13, 116, 1
0.779, 132, 11, 13, 116, 1
0.785, 133, 11, 13, 116, 1
0.795, 133, 11, 13, 116, -1
0.820, 133, 11, 12, 116, -1
0.820, 132, 11, 12, 116, -1
0.826, 131, 11, 12, 116, -1
0.826, 130, 11, 12, 116, -1
0.831, 129, 11, 12, 116, -1
0.835, 128, 11, 12, 116, -1
0.843, 127, 11, 12, 116, -1
0.844, 127, 11, 12, 115, -1
0.845, 127, 11, 12, 114, -1
0.862, 127, 11, 12, 113, -1
0.873, 127, 11, 13, 113, -1
0.895, 126, 11, 13, 113, -1
0.908, 126, 11, 13, 113, 1
0.909, 126, 11, 13, 114, 1
0.916, 125, 11, 13, 114, 1
0.940, 124, 11, 13, 114, 1
0.941, 123, 11, 13, 114, 1
0.948, 122, 11, 13, 114, 1
0.952, 121, 11, 13, 114, 1
0.953, 122, 11, 13, 114, 1
0.960, 122, 11, 13, 114, -1
0.968, 122, 11, 13, 115, -1
0.972, 121, 11, 13, 115, -1
0.979, 120, 11, 13, 115, -1
0.992, 120, 11, 13, 114, -1
1.069, 120, 11, 13, 113, -1
1.069, 120, 11, 13, 113, 1
1.071, 120, 11, 13, 114, 1
1.105, 120, 11, 13, 114, -1
1.110, 120, 11, 13, 115, -1
1.110, 119, 11, 13, 115, -1
1.121, 119, 11, 12, 115, -1
1.128, 119, 11, 12, 115, 1
1.139, 119, 11, 12, 116, 1
1.139, 119, 11, 12, 117, 1
1.147, 120, 11, 12, 117, 1
1.162, 120, 11, 13, 117, 1
1.177, 120, 11, 13, 117, -1
1.187, 120, 11, 14, 117, -1
1.189, 120, 10, 14, 117, -1
1.208, 120, 10, 14, 116, -1
1.211, 120, 10, 14, 115, -1
1.229, 120, 10, 14, 114, -1
1.231, 120, 10, 14, 113, -1
1.237, 121, 10, 14, 113, -1
1.240, 121, 10, 13, 113, -1
1.243, 120, 10, 13, 113, -1
1.248, 119, 10, 13, 113, -1
1.248, 119, 10, 13, 112, -1
1.249, 119, 10, 13, 112, 1
1.276, 119, 10, 13, 111, 1
1.280, 119, 10, 13, 112, 1
1.289, 118, 10, 13, 112, 1
1.316, 119, 10, 13, 112, 1
1.321, 119, 10, 13, 112, -1
1.344, 120, 10, 13, 112, -1
1.361, 121, 10, 13, 112, -1
1.376, 121, 9, 13, 112, -1
