resource, consumer1, toxin, environment
42, 0, 125, -1
65, 0, 118, -1
31, 91, 34, 1
36, 68, 35, 1
184, 0, 123, 1
57, 0, 102, -1
51, 0, 145, -1
28, 75, 31, 1
48, 0, 135, -1
19, 93, 25, 1
51, 0, 139, -1
33, 77, 20, 1
32, 85, 31, 1
48, 0, 109, -1
51, 0, 121, -1
26, 71, 32, 1
30, 49, 55, 1
34, 61, 25, 1
41, 84, 29, 1
206, 0, 99, 1
30, 53, 42, 1
58, 0, 132, -1
32, 0, 136, -1
30, 51, 49, 1
8, 78, 29, 1
30, 84, 36, 1
31, 55, 37, 1
54, 0, 124, -1
45, 0, 122, -1
29, 88, 33, 1
42, 0, 138, -1
16, 120, 26, 1
39, 58, 44, 1
50, 0, 130, -1
25, 93, 32, 1
49, 0, 126, -1
23, 85, 32, 1
28, 89, 26, 1
26, 83, 34, 1
49, 55, 47, 1
26, 106, 31, 1
49, 0, 127, -1
51, 45, 76, 1
49, 0, 127, -1
20, 119, 17, 1
53, 0, 97, -1
18, 112, 20, 1
20, 101, 21, 1
20, 81, 34, 1
54, 0, 119, -1
34, 87, 38, 1
35, 75, 48, 1
36, 0, 127, -1
48, 0, 120, -1
26, 88, 31, 1
59, 0, 118, -1
47, 0, 130, -1
64, 0, 116, -1
17, 98, 27, 1
63, 0, 134, -1
40, 69, 32, 1
205, 0, 145, 1
29, 80, 35, 1
47, 0, 132, -1
41, 0, 117, -1
19, 96, 25, 1
188, 0, 127, 1
38, 0, 113, -1
54, 0, 127, -1
52, 0, 128, -1
17, 70, 24, 1
45, 0, 133, -1
23, 87, 36, 1
66, 0, 128, -1
31, 56, 47, 1
43, 0, 126, -1
50, 0, 121, -1
48, 0, 138, -1
170, 0, 120, 1
56, 0, 129, -1
60, 0, 114, -1
47, 0, 145, -1
50, 0, 138, -1
46, 0, 124, -1
47, 0, 149, -1
42, 52, 52, 1
27, 84, 26, 1
32, 87, 35, 1
47, 37, 45, 1
14, 119, 22, 1
22, 92, 20, 1
54, 0, 121, -1
28, 64, 34, 1
14, 23, 44, -1
32, 88, 36, 1
38, 0, 121, -1
20, 91, 30, 1
51, 0, 121, -1
40, 107, 28, 1
49, 0, 114, -1
51, 0, 143, -1
51, 0, 141, -1
26, 66, 30, 1
25, 88, 40, 1
27, 0, 115, -1
48, 0, 137, -1
54, 60, 45, 1
38, 0, 130, -1
52, 0, 124, -1
41, 50, 39, 1
50, 0, 123, -1
53, 0, 138, -1
59, 0, 126, -1
34, 84, 49, 1
50, 0, 133, -1
37, 0, 131, -1
52, 0, 120, -1
49, 0, 115, -1
32, 112, 24, 1
35, 0, 129, -1
35, 77, 38, 1
45, 0, 125, -1
40, 60, 53, 1
25, 87, 32, 1
24, 60, 29, 1
45, 0, 120, -1
38, 52, 30, 1
34, 97, 30, 1
55, 0, 126, -1
58, 0, 115, -1
46, 0, 125, -1
43, 0, 130, -1
58, 0, 129, -1
21, 100, 29, 1
32, 71, 54, 1
38, 90, 27, 1
51, 0, 109, -1
47, 0, 136, -1
55, 0, 126, -1
51, 0, 123, -1
19, 93, 31, 1
35, 53, 38, 1
10, 33, 39, -1
22, 116, 27, 1
60, 0, 132, -1
54, 0, 147, -1
33, 54, 28, 1
46, 0, 132, -1
178, 0, 126, 1
49, 0, 138, -1
48, 0, 137, -1
32, 3, 119, -1
32, 77, 25, 1
30, 68, 37, 1
30, 81, 20, 1
47, 0, 128, -1
51, 0, 102, -1
206, 0, 123, 1
50, 0, 131, -1
30, 63, 46, 1
36, 52, 56, 1
25, 84, 25, 1
47, 0, 121, -1
22, 88, 28, 1
32, 80, 32, 1
45, 0, 137, -1
49, 0, 132, -1
42, 76, 52, 1
21, 80, 29, 1
200, 0, 150, 1
41, 0, 126, -1
32, 74, 36, 1
55, 0, 130, -1
65, 0, 131, -1
22, 104, 20, 1
50, 0, 145, -1
57, 0, 122, -1
49, 0, 143, -1
41, 60, 53, 1
25, 86, 24, 1
18, 115, 25, 1
55, 0, 120, -1
54, 0, 132, -1
48, 0, 112, -1
60, 0, 128, -1
42, 0, 124, -1
52, 0, 109, -1
58, 0, 122, -1
62, 0, 102, -1
41, 61, 21, 1
27, 50, 43, 1
199, 0, 123, 1
16, 90, 26, 1
34, 74, 28, 1
18, 91, 24, 1
62, 0, 107, -1
25, 87, 26, 1
37, 80, 36, 1
47, 0, 126, -1
19, 102, 24, 1
200, 0, 117, 1
211, 0, 130, 1
40, 0, 124, -1
21, 86, 22, 1
26, 107, 18, 1
26, 72, 27, 1
46, 0, 107, -1
34, 72, 42, 1
52, 0, 129, -1
49, 0, 122, -1
53, 0, 127, -1
33, 64, 49, 1
32, 82, 39, -1
25, 73, 35, 1
25, 89, 28, 1
30, 73, 43, 1
165, 0, 134, 1
49, 0, 117, -1
22, 76, 28, 1
29, 0, 143, -1
51, 0, 135, -1
53, 0, 108, -1
44, 0, 115, -1
16, 84, 25, 1
44, 0, 140, -1
17, 86, 23, 1
55, 0, 130, -1
8, 11, 57, -1
21, 83, 16, 1
47, 0, 112, -1
32, 68, 61, 1
53, 24, 72, 1
30, 61, 37, 1
35, 85, 28, 1
29, 80, 40, 1
45, 0, 116, -1
18, 63, 33, 1
49, 0, 130, -1
18, 117, 25, 1
33, 70, 42, 1
205, 0, 125, 1
59, 0, 120, -1
40, 0, 120, -1
35, 106, 14, 1
48, 0, 131, -1
46, 0, 109, -1
18, 88, 35, 1
47, 0, 114, -1
30, 78, 31, 1
53, 0, 121, -1
34, 74, 29, 1
54, 0, 131, -1
39, 46, 46, 1
51, 0, 119, -1
32, 66, 34, 1
28, 76, 30, 1
20, 91, 37, 1
45, 0, 133, -1
32, 59, 48, 1
34, 56, 38, 1
38, 57, 38, 1
20, 87, 23, 1
26, 79, 27, 1
43, 0, 127, -1
20, 78, 33, 1
24, 87, 23, 1
19, 79, 40, 1
59, 0, 119, -1
29, 68, 43, 1
22, 75, 40, 1
48, 57, 46, 1
32, 86, 38, 1
19, 111, 21, 1
44, 0, 119, -1
41, 0, 103, -1
222, 0, 116, 1
16, 97, 27, 1
20, 74, 30, 1
25, 61, 37, 1
54, 0, 136, -1
49, 0, 115, -1
47, 0, 118, -1
205, 0, 149, 1
23, 85, 30, 1
43, 53, 49, 1
58, 0, 118, -1
64, 0, 120, -1
26, 77, 23, 1
40, 0, 125, -1
59, 0, 127, -1
31, 44, 32, 1
41, 74, 33, 1
58, 0, 113, -1
35, 79, 29, 1
37, 0, 112, -1
16, 13, 70, -1
197, 0, 129, 1
20, 78, 18, 1
22, 70, 48, 1
33, 63, 41, 1
27, 74, 33, 1
38, 0, 124, -1
45, 0, 116, -1
51, 0, 122, -1
54, 0, 122, -1
24, 86, 22, 1
41, 0, 136, -1
54, 0, 124, -1
37, 0, 137, -1
29, 85, 36, 1
217, 0, 136, 1
32, 76, 42, 1
32, 74, 34, 1
211, 0, 126, 1
61, 0, 134, -1
29, 86, 26, 1
54, 0, 135, -1
58, 45, 61, 1
30, 70, 30, 1
14, 95, 27, 1
19, 126, 22, 1
49, 0, 139, -1
46, 0, 108, -1
39, 0, 98, -1
31, 96, 18, 1
46, 0, 100, -1
56, 0, 128, -1
49, 0, 118, -1
55, 0, 116, -1
22, 97, 19, 1
16, 78, 24, 1
53, 0, 134, -1
29, 79, 38, 1
57, 0, 112, -1
40, 54, 47, 1
46, 0, 133, -1
28, 75, 41, 1
55, 0, 110, -1
54, 0, 119, -1
46, 0, 115, -1
36, 54, 37, 1
28, 59, 34, 1
66, 0, 131, -1
29, 79, 32, 1
50, 0, 132, -1
54, 0, 130, -1
50, 62, 44, 1
12, 118, 14, 1
59, 0, 126, -1
58, 0, 127, -1
60, 0, 108, -1
71, 0, 121, -1
22, 90, 26, 1
61, 61, 51, 1
49, 0, 114, -1
20, 113, 22, 1
35, 69, 31, 1
56, 0, 116, -1
55, 0, 116, -1
33, 3, 91, -1
24, 90, 27, 1
47, 0, 118, -1
62, 0, 112, -1
22, 80, 34, 1
22, 92, 31, 1
176, 0, 102, 1
224, 0, 115, 1
22, 96, 28, 1
54, 0, 116, -1
201, 0, 124, 1
27, 60, 35, 1
23, 95, 27, 1
34, 99, 34, 1
179, 0, 126, 1
50, 0, 135, -1
55, 0, 127, -1
19, 114, 25, 1
50, 0, 134, -1
195, 0, 125, 1
17, 83, 40, 1
47, 0, 122, -1
43, 0, 147, -1
55, 0, 114, -1
52, 0, 119, -1
48, 61, 49, 1
43, 0, 125, -1
34, 69, 46, 1
24, 88, 29, 1
46, 71, 46, 1
29, 83, 25, 1
49, 0, 97, -1
28, 90, 19, 1
55, 0, 125, -1
37, 0, 132, -1
41, 0, 127, -1
31, 0, 114, -1
61, 0, 120, -1
49, 0, 115, -1
66, 0, 114, -1
17, 96, 31, 1
13, 71, 33, 1
46, 0, 106, -1
46, 55, 38, 1
45, 0, 119, -1
20, 88, 30, 1
34, 61, 41, 1
47, 0, 117, -1
58, 0, 125, -1
34, 57, 41, 1
23, 82, 24, 1
43, 0, 112, -1
186, 0, 134, 1
186, 0, 120, 1
190, 0, 122, 1
50, 0, 141, -1
15, 89, 19, 1
48, 0, 105, -1
30, 5, 93, -1
30, 70, 35, 1
59, 0, 158, -1
47, 0, 131, -1
23, 121, 22, 1
224, 0, 130, 1
36, 58, 45, 1
46, 0, 127, -1
23, 69, 33, 1
24, 61, 35, 1
52, 0, 130, -1
42, 0, 116, -1
61, 0, 135, -1
28, 71, 28, 1
54, 0, 122, -1
46, 0, 135, -1
207, 0, 127, 1
44, 0, 128, -1
37, 70, 31, 1
32, 85, 26, 1
49, 0, 119, -1
25, 77, 34, 1
50, 0, 112, -1
14, 90, 19, 1
55, 0, 141, -1
