resource, consumer1, toxin, environment
52, 21, 109, 1
22, 36, 56, 1
138, 0, 140, -1
109, 0, 128, -1
121, 0, 131, 1
65, 8, 108, 1
137, 0, 130, -1
48, 30, 58, 1
38, 23, 74, -1
128, 0, 118, 1
121, 0, 120, -1
130, 0, 114, -1
49, 38, 49, -1
104, 0, 111, -1
141, 0, 133, -1
122, 0, 115, -1
39, 40, 66, 1
47, 36, 68, 1
61, 7, 70, -1
44, 13, 91, 1
45, 18, 80, -1
131, 0, 132, -1
135, 0, 121, -1
86, 10, 89, -1
55, 17, 67, 1
72, 14, 91, -1
25, 30, 52, 1
50, 31, 81, 1
37, 16, 73, 1
118, 0, 107, -1
41, 29, 61, -1
72, 0, 102, -1
59, 20, 70, 1
95, 0, 115, 1
75, 3, 110, -1
114, 0, 117, -1
49, 12, 78, 1
33, 59, 60, 1
35, 22, 68, 1
49, 27, 65, -1
25, 49, 56, -1
28, 42, 47, 1
72, 6, 104, -1
135, 0, 116, -1
50, 21, 67, -1
136, 0, 134, -1
97, 0, 111, 1
64, 4, 83, -1
68, 20, 81, -1
125, 0, 122, 1
17, 42, 46, 1
70, 14, 99, -1
37, 42, 57, 1
108, 3, 91, -1
126, 0, 117, -1
24, 24, 58, -1
33, 45, 65, 1
113, 0, 137, 1
63, 24, 79, -1
45, 18, 62, -1
46, 12, 82, -1
30, 23, 59, -1
129, 0, 116, 1
128, 0, 132, 1
52, 42, 57, 1
129, 0, 121, -1
111, 0, 126, -1
26, 19, 64, -1
127, 0, 135, -1
158, 0, 128, -1
41, 20, 69, -1
33, 37, 80, 1
129, 0, 145, 1
128, 0, 128, -1
40, 31, 78, -1
51, 23, 96, 1
84, 6, 101, 1
72, 12, 67, -1
95, 2, 107, -1
55, 27, 63, 1
59, 10, 83, -1
135, 0, 124, 1
37, 41, 60, 1
80, 8, 95, -1
35, 35, 49, -1
34, 19, 78, 1
68, 12, 103, 1
121, 0, 122, 1
134, 0, 139, -1
44, 29, 64, -1
133, 0, 142, 1
24, 51, 41, -1
42, 29, 68, -1
30, 31, 70, -1
36, 36, 47, -1
51, 16, 89, 1
120, 0, 112, -1
90, 0, 97, -1
77, 16, 100, 1
130, 0, 135, 1
59, 4, 81, 1
34, 59, 42, -1
44, 31, 70, -1
62, 21, 76, -1
29, 36, 55, 1
62, 18, 78, 1
47, 32, 55, -1
27, 44, 59, 1
46, 20, 59, -1
55, 21, 66, -1
28, 12, 82, 1
44, 24, 87, -1
39, 48, 61, 1
38, 44, 50, 1
119, 0, 127, 1
53, 6, 85, -1
139, 0, 122, 1
63, 10, 78, -1
35, 27, 93, 1
129, 0, 130, -1
36, 31, 71, 1
57, 26, 82, -1
28, 83, 33, 1
50, 47, 52, 1
130, 0, 130, 1
103, 0, 137, 1
30, 23, 62, 1
110, 0, 118, -1
31, 42, 42, -1
77, 8, 113, 1
65, 14, 90, -1
134, 0, 124, -1
118, 0, 100, 1
33, 16, 70, -1
111, 4, 103, -1
49, 21, 68, 1
22, 38, 46, -1
29, 22, 60, 1
47, 18, 71, 1
57, 16, 77, 1
46, 19, 72, 1
44, 34, 50, -1
41, 21, 61, 1
43, 15, 73, -1
35, 51, 52, -1
104, 0, 122, 1
85, 9, 82, 1
32, 52, 59, -1
122, 0, 125, -1
32, 11, 85, -1
59, 22, 79, 1
126, 0, 120, -1
50, 29, 53, -1
107, 0, 101, 1
66, 5, 63, -1
77, 2, 99, 1
61, 12, 75, -1
36, 26, 63, 1
58, 18, 74, -1
46, 30, 80, 1
43, 22, 61, 1
46, 22, 60, 1
32, 36, 63, -1
36, 19, 82, 1
49, 30, 69, -1
51, 21, 75, -1
33, 27, 69, -1
133, 0, 123, -1
32, 47, 66, -1
32, 17, 85, 1
56, 27, 69, -1
44, 26, 77, -1
24, 41, 56, 1
107, 0, 117, -1
50, 15, 80, 1
133, 0, 125, -1
30, 41, 73, 1
22, 45, 57, 1
55, 18, 85, 1
43, 67, 50, 1
37, 26, 51, -1
40, 29, 75, 1
115, 0, 112, -1
46, 26, 74, -1
23, 39, 61, 1
62, 18, 65, 1
110, 0, 114, 1
56, 38, 73, 1
124, 0, 112, -1
47, 37, 57, 1
45, 24, 81, 1
54, 27, 57, -1
57, 6, 92, -1
47, 36, 65, 1
43, 21, 75, -1
103, 0, 129, 1
53, 27, 86, 1
47, 43, 68, 1
104, 0, 125, -1
52, 17, 101, 1
48, 28, 65, -1
67, 17, 86, 1
74, 23, 100, -1
129, 0, 102, 1
124, 0, 139, 1
27, 30, 50, -1
119, 0, 130, -1
38, 17, 95, -1
116, 0, 109, 1
125, 0, 118, -1
51, 33, 71, -1
47, 16, 70, 1
119, 0, 139, -1
83, 3, 102, -1
136, 0, 120, 1
107, 0, 127, 1
29, 40, 55, -1
65, 24, 76, -1
122, 0, 136, 1
42, 15, 63, -1
58, 13, 81, 1
58, 25, 85, 1
55, 15, 78, -1
83, 21, 97, -1
53, 21, 76, 1
27, 26, 73, 1
99, 0, 111, -1
26, 53, 54, -1
123, 0, 129, 1
50, 13, 84, -1
30, 17, 59, -1
116, 0, 102, -1
59, 18, 81, -1
130, 0, 140, 1
72, 15, 105, 1
45, 15, 74, 1
104, 0, 100, -1
114, 0, 128, 1
64, 25, 69, 1
129, 0, 106, 1
36, 18, 82, -1
46, 33, 52, -1
55, 22, 80, 1
128, 0, 128, -1
90, 0, 117, 1
74, 20, 76, -1
149, 0, 125, 1
148, 0, 130, -1
41, 29, 78, 1
32, 28, 64, -1
60, 23, 96, 1
133, 0, 121, -1
34, 31, 39, 1
121, 0, 115, 1
25, 53, 33, -1
117, 0, 127, -1
115, 0, 112, -1
61, 32, 86, 1
127, 0, 135, -1
34, 30, 77, -1
55, 17, 64, -1
60, 21, 69, 1
144, 0, 137, 1
134, 0, 133, -1
113, 0, 130, 1
60, 20, 83, 1
133, 0, 123, 1
126, 0, 153, -1
99, 11, 105, 1
53, 17, 80, -1
38, 11, 99, -1
130, 0, 125, 1
34, 31, 67, 1
90, 18, 92, -1
132, 0, 107, 1
49, 20, 86, 1
141, 0, 115, 1
56, 29, 69, 1
37, 46, 45, 1
42, 25, 61, 1
47, 18, 78, -1
112, 0, 101, -1
112, 0, 115, -1
58, 43, 89, 1
143, 0, 126, -1
51, 38, 68, -1
105, 0, 108, -1
122, 0, 119, -1
106, 1, 126, -1
84, 12, 93, -1
76, 16, 83, 1
36, 47, 48, -1
31, 49, 48, 1
27, 31, 71, 1
35, 23, 91, -1
48, 29, 61, -1
85, 3, 108, -1
112, 0, 131, -1
114, 0, 114, -1
75, 19, 94, -1
115, 0, 126, 1
59, 5, 90, -1
67, 15, 84, -1
58, 37, 71, -1
75, 21, 109, -1
29, 39, 61, 1
91, 2, 98, 1
41, 30, 77, -1
55, 11, 95, 1
27, 32, 62, 1
30, 24, 65, -1
107, 0, 137, 1
23, 74, 21, 1
34, 44, 65, 1
53, 24, 100, -1
48, 23, 67, 1
126, 0, 122, -1
33, 28, 67, 1
32, 12, 72, -1
123, 0, 125, -1
128, 0, 121, -1
126, 0, 110, 1
29, 30, 81, -1
38, 33, 69, -1
42, 35, 79, -1
51, 22, 81, 1
76, 14, 69, -1
15, 37, 48, -1
51, 16, 80, -1
33, 12, 73, 1
97, 19, 81, 1
28, 42, 55, 1
57, 17, 98, -1
44, 43, 76, 1
49, 11, 87, -1
42, 21, 84, 1
28, 28, 47, -1
45, 14, 90, 1
38, 20, 81, 1
32, 40, 77, -1
31, 43, 52, -1
98, 5, 93, -1
41, 22, 76, 1
60, 16, 76, -1
56, 25, 84, -1
25, 31, 57, 1
84, 11, 96, -1
27, 51, 48, -1
41, 31, 61, 1
49, 23, 66, 1
46, 14, 79, -1
114, 0, 115, 1
35, 29, 54, 1
36, 43, 62, 1
45, 26, 75, 1
37, 30, 58, -1
140, 0, 133, -1
37, 26, 83, -1
144, 0, 141, 1
135, 0, 118, -1
44, 14, 80, -1
111, 0, 141, -1
118, 0, 131, 1
59, 12, 76, 1
44, 14, 86, -1
125, 0, 127, 1
23, 43, 30, 1
36, 7, 85, 1
31, 30, 73, 1
121, 0, 118, -1
34, 44, 61, 1
36, 40, 55, 1
72, 23, 88, 1
35, 28, 60, 1
56, 21, 68, -1
127, 0, 114, -1
33, 45, 70, -1
45, 39, 64, 1
127, 0, 127, -1
82, 12, 93, -1
116, 0, 121, -1
17, 57, 46, 1
110, 0, 124, -1
46, 15, 68, 1
66, 19, 83, -1
35, 22, 61, 1
129, 0, 124, 1
45, 21, 62, -1
37, 39, 59, 1
121, 0, 110, 1
65, 19, 99, -1
44, 21, 64, -1
87, 9, 93, -1
116, 0, 108, -1
41, 21, 89, -1
98, 15, 115, 1
107, 0, 110, -1
62, 25, 72, 1
55, 25, 73, 1
71, 16, 81, -1
146, 0, 124, -1
41, 28, 69, 1
105, 8, 99, -1
50, 19, 77, 1
62, 24, 79, -1
134, 0, 118, 1
35, 22, 78, -1
45, 33, 58, -1
119, 0, 141, 1
46, 23, 81, -1
51, 17, 76, 1
130, 0, 123, -1
41, 57, 58, -1
28, 35, 49, -1
40, 26, 66, 1
44, 35, 74, 1
61, 14, 95, 1
66, 19, 82, 1
28, 33, 56, -1
62, 44, 59, 1
48, 45, 62, -1
101, 0, 132, 1
37, 11, 66, 1
116, 0, 139, 1
48, 36, 69, 1
55, 7, 82, 1
40, 22, 60, 1
57, 20, 66, 1
58, 18, 73, 1
56, 16, 84, 1
137, 0, 133, 1
34, 46, 44, 1
71, 9, 102, 1
56, 17, 83, 1
48, 14, 69, -1
52, 42, 59, 1
30, 18, 81, 1
68, 21, 110, -1
142, 0, 112, 1
38, 15, 76, 1
53, 21, 80, -1
32, 21, 64, -1
122, 0, 130, 1
67, 10, 93, 1
35, 21, 62, -1
56, 18, 70, 1
105, 0, 116, 1
126, 0, 125, -1
60, 15, 90, 1
118, 0, 144, 1
40, 22, 71, 1
61, 17, 76, -1
24, 47, 48, 1
62, 12, 91, 1
151, 0, 118, 1
128, 0, 117, -1
46, 38, 63, -1
121, 0, 129, -1
81, 0, 117, 1
45, 18, 93, -1
43, 20, 79, -1
37, 20, 75, -1
60, 23, 70, 1
97, 0, 123, -1
39, 28, 58, 1
32, 33, 46, -1
137, 0, 115, 1
22, 39, 43, 1
140, 0, 123, -1
28, 19, 70, -1
118, 0, 139, -1
149, 0, 119, -1
46, 22, 76, 1
40, 21, 69, -1
54, 20, 83, -1
110, 0, 128, -1
125, 0, 140, -1
22, 36, 51, -1
129, 0, 117, -1
62, 24, 68, -1
45, 28, 54, 1
40, 39, 62, 1
50, 29, 68, 1
119, 0, 110, -1
25, 35, 66, 1
53, 25, 89, 1
116, 0, 135, 1
38, 46, 59, 1
53, 27, 67, 1
48, 31, 74, 1
49, 20, 71, -1
133, 0, 136, 1
52, 16, 85, -1
128, 0, 129, 1
124, 0, 121, -1
132, 0, 126, -1
55, 21, 78, 1
148, 0, 110, 1
73, 4, 97, -1
110, 0, 156, 1
137, 0, 132, 1
116, 0, 112, 1
69, 9, 80, -1
124, 0, 136, -1
156, 0, 134, -1
45, 16, 73, -1
137, 0, 130, -1
81, 4, 98, -1
71, 17, 80, 1
39, 32, 61, -1
37, 19, 59, 1
57, 19, 80, 1
129, 0, 136, -1
105, 0, 116, 1
46, 25, 59, 1
43, 38, 41, -1
140, 0, 127, 1
41, 32, 76, 1
36, 33, 70, 1
98, 5, 101, -1
37, 16, 92, 1
88, 11, 111, 1
51, 28, 77, 1
129, 0, 135, 1
52, 19, 77, 1
35, 24, 67, -1
61, 12, 96, -1
57, 19, 68, -1
79, 0, 129, 1
144, 0, 124, -1
38, 29, 79, 1
50, 23, 74, 1
134, 0, 135, 1
34, 30, 50, 1
124, 0, 107, 1
24, 48, 42, -1
57, 20, 80, 1
116, 0, 119, -1
125, 0, 129, 1
131, 0, 116, -1
113, 0, 123, 1
54, 30, 69, 1
48, 23, 72, -1
27, 38, 55, -1
133, 0, 120, -1
37, 36, 89, -1
58, 23, 86, 1
77, 13, 89, -1
73, 11, 107, -1
48, 26, 52, -1
53, 14, 84, 1
41, 31, 61, -1
66, 22, 72, -1
37, 22, 54, -1
55, 28, 59, -1
61, 18, 95, 1
70, 8, 101, -1
133, 0, 130, 1
47, 21, 98, 1
54, 31, 75, -1
89, 3, 92, -1
132, 0, 118, 1
50, 18, 67, -1
46, 24, 59, 1
71, 23, 87, -1
69, 15, 96, 1
38, 24, 69, 1
49, 29, 85, -1
66, 3, 87, 1
126, 0, 154, -1
98, 5, 98, 1
69, 28, 90, 1
51, 22, 62, -1
132, 0, 124, -1
102, 14, 99, 1
139, 0, 124, -1
121, 0, 130, 1
40, 41, 61, -1
123, 0, 123, -1
51, 7, 102, -1
66, 16, 64, -1
58, 16, 95, 1
52, 16, 84, 1
29, 25, 58, -1
113, 0, 105, 1
127, 0, 109, 1
130, 0, 130, 1
57, 15, 78, -1
43, 9, 72, -1
29, 32, 68, 1
93, 1, 117, -1
61, 25, 81, 1
38, 37, 76, 1
50, 15, 81, -1
137, 0, 106, -1
119, 0, 119, 1
131, 0, 135, 1
65, 6, 91, -1
83, 3, 90, -1
145, 0, 110, 1
136, 0, 135, -1
40, 18, 69, 1
58, 27, 81, -1
124, 0, 118, -1
89, 8, 114, -1
125, 0, 112, 1
127, 0, 120, -1
54, 23, 65, -1
92, 0, 115, -1
135, 0, 126, 1
86, 15, 91, 1
34, 26, 82, -1
54, 18, 78, 1
72, 11, 91, 1
69, 13, 88, 1
74, 13, 111, 1
129, 0, 133, 1
91, 4, 124, 1
115, 0, 132, 1
97, 0, 99, -1
50, 23, 66, 1
95, 16, 106, 1
107, 0, 165, -1
132, 0, 132, -1
53, 12, 93, 1
19, 37, 50, -1
55, 24, 95, 1
121, 0, 133, -1
19, 81, 28, -1
114, 0, 119, 1
46, 48, 59, -1
27, 42, 44, 1
137, 0, 124, -1
128, 0, 129, 1
54, 20, 64, 1
49, 32, 79, -1
73, 9, 98, -1
109, 0, 122, -1
61, 11, 82, -1
102, 0, 122, 1
108, 0, 123, -1
151, 0, 119, -1
25, 38, 41, 1
33, 24, 78, -1
46, 17, 86, 1
30, 35, 53, 1
127, 0, 110, 1
37, 29, 57, -1
124, 0, 118, -1
105, 0, 133, -1
28, 41, 46, 1
126, 0, 119, -1
26, 26, 72, -1
26, 21, 67, -1
25, 67, 39, -1
59, 7, 82, 1
35, 15, 85, -1
142, 0, 130, 1
136, 0, 106, 1
30, 33, 62, -1
146, 0, 137, 1
127, 0, 110, 1
114, 0, 115, -1
66, 19, 94, -1
126, 0, 116, -1
132, 0, 126, 1
50, 25, 80, 1
30, 37, 54, -1
151, 0, 126, 1
43, 13, 83, 1
29, 46, 60, -1
113, 0, 119, 1
49, 21, 89, -1
41, 28, 71, -1
123, 0, 138, 1
56, 18, 105, -1
45, 14, 81, -1
143, 0, 132, 1
91, 7, 117, -1
52, 22, 55, 1
44, 37, 52, 1
55, 5, 75, -1
47, 26, 61, 1
122, 0, 135, -1
68, 9, 108, -1
53, 27, 74, -1
40, 26, 71, 1
60, 15, 88, 1
123, 0, 128, -1
100, 0, 123, 1
36, 17, 70, 1
28, 44, 50, 1
31, 48, 57, 1
53, 33, 82, 1
109, 0, 122, 1
28, 33, 65, -1
32, 34, 67, -1
127, 0, 116, -1
77, 3, 86, 1
120, 0, 113, 1
112, 0, 125, 1
36, 39, 70, -1
31, 35, 58, 1
50, 20, 100, -1
24, 26, 63, 1
59, 26, 68, -1
112, 0, 108, -1
39, 36, 66, -1
68, 21, 89, -1
